"","term","sum","matched_pathways","seed"
"72","Pyelonephritis, Xanthogranulomatous","0","",3011
"73","AIDS-Related Complex","0","",3011
"74","Female Urogenital Diseases","1","Coronavirus disease - COVID-19",3011
"75","Hepatitis B, Chronic","1","Coronavirus disease - COVID-19",3011
"76","Anticipation, Genetic","0","",3011
"77","Cataract","1","Coronavirus disease - COVID-19",3011
"78","Keratitis, Herpetic","1","Coronavirus disease - COVID-19",3011
"79","Iridocorneal Endothelial Syndrome","0","",3011
"80","Peripheral Arterial Disease","1","Coronavirus disease - COVID-19",3011
"81","Palatal Neoplasms","0","",3011
"82","Megacolon, Toxic","NA","",3011
"83","Tuberculosis, Lymph Node","1","Coronavirus disease - COVID-19",3011
"84","Dyskeratosis Congenita","0","",3011
"85","Arachnoiditis","0","",3011
"86","Maxillary Fractures","0","",3011
"87","Compartment Syndromes","1","Coronavirus disease - COVID-19",3011
"88","Dental Pulp Calcification","0","",3011
"89","Muscular Dystrophies, Limb-Girdle","1","Coronavirus disease - COVID-19",3011
"90","Infertility, Female","1","Coronavirus disease - COVID-19",3011
"91","Preleukemia","0","",3011
"92","Tuberculoma, Intracranial","0","",3011
"93","Systemic Inflammatory Response Syndrome","1","Coronavirus disease - COVID-19",3011
"94","Macrophage Activation Syndrome","1","Coronavirus disease - COVID-19",3011
"95","Isolated Systolic Hypertension","NA","",3011
"96","Idiopathic Pulmonary Fibrosis","1","Coronavirus disease - COVID-19",3011
"97","Pulmonary Edema","1","Coronavirus disease - COVID-19",3011
"98","Truncus Arteriosus, Persistent","0","",3011
"99","Fluorosis, Dental","0","",3011
"100","Blastomycosis","0","",3011
"101","Venous Thromboembolism","1","Coronavirus disease - COVID-19",3011
"102","Muscular Dystrophy, Duchenne","1","Coronavirus disease - COVID-19",3011
"103","Vulvar Diseases","1","Coronavirus disease - COVID-19",3011
"104","Ataxia Telangiectasia","0","",3011
"105","WAGR Syndrome","0","",3011
"106","Eccrine Porocarcinoma","0","",3011
"107","Shellfish Hypersensitivity","0","",3011
"108","Miller Fisher Syndrome","0","",3011
"109","Trigeminal Autonomic Cephalalgias","0","",3011
"110","Pityriasis Lichenoides","0","",3011
"111","Leukemia, Radiation-Induced","0","",3011
"112","Epidermal Cyst","1","Coronavirus disease - COVID-19",3011
"113","Pulmonary Sclerosing Hemangioma","0","",3011
"114","Congenital Disorders of Glycosylation","1","Coronavirus disease - COVID-19",3011
"115","Talipes","0","",3011
"116","Weight Cycling","NA","",3011
"117","Placenta Diseases","1","Coronavirus disease - COVID-19",3011
"118","Salivary Duct Calculi","NA","",3011
"119","Familial Exudative Vitreoretinopathies","0","",3011
"120","Osteoarthritis, Hip","1","Coronavirus disease - COVID-19",3011
"121","Intestinal Perforation","0","",3011
"122","Capsule Opacification","1","Coronavirus disease - COVID-19",3011
"123","Monteggia's Fracture","NA","",3011
"124","Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome","0","",3011
"125","Parathyroid Neoplasms","0","",3011
"126","Hearing Loss, Functional","NA","",3011
"127","Leg Length Inequality","0","",3011
"128","Central Nervous System Viral Diseases","1","Coronavirus disease - COVID-19",3011
"129","Taeniasis","0","",3011
"130","AIDS-Related Opportunistic Infections","1","Coronavirus disease - COVID-19",3011
"131","Superior Mesenteric Artery Syndrome","NA","",3011
"132","Gas Gangrene","NA","",3011
"133","Prenatal Injuries","1","Coronavirus disease - COVID-19",3011
"134","Miliaria","0","",3011
"135","Nail-Patella Syndrome","0","",3011
"136","Lymphatic Metastasis","1","Coronavirus disease - COVID-19",3011
"137","Glycogen Storage Disease Type VI","NA","",3011
"138","Retrocochlear Diseases","0","",3011
"139","Cystic Adenomatoid Malformation of Lung, Congenital","0","",3011
"140","Renal Nutcracker Syndrome","0","",3011
"141","Mycotoxicosis","1","Coronavirus disease - COVID-19",3011
"142","Enterocolitis","1","Coronavirus disease - COVID-19",3011
"143","Ventricular Fibrillation","0","",3011
"144","Neoplasms, Mesothelial","1","Coronavirus disease - COVID-19",3011
"145","Tension-Type Headache","1","Coronavirus disease - COVID-19",3011
"146","Encephalomalacia","0","",3011
"147","Respiratory Aspiration","1","Coronavirus disease - COVID-19",3011
"148","Proteostasis Deficiencies","1","Coronavirus disease - COVID-19",3011
"149","Torsades de Pointes","0","",3011
"150","Dysautonomia, Familial","0","",3011
"151","Recurrence","1","Coronavirus disease - COVID-19",3011
"152","Herpesviridae Infections","1","Coronavirus disease - COVID-19",3011
"153","Hemoptysis","1","Coronavirus disease - COVID-19",3011
"154","Flail Chest","0","",3011
"155","Central Nervous System Protozoal Infections","1","Coronavirus disease - COVID-19",3011
"156","Congenital Hyperinsulinism","0","",3011
"157","Dental Pulp Exposure","1","Coronavirus disease - COVID-19",3011
"158","Ecthyma","0","",3011
"159","Femoral Neoplasms","0","",3011
"160","Breast Cancer Lymphedema","0","",3011
"161","Appendiceal Neoplasms","0","",3011
"162","Histiocytoma, Benign Fibrous","0","",3011
"163","Placenta, Retained","NA","",3011
"164","Cocaine-Related Disorders","1","Coronavirus disease - COVID-19",3011
"165","Cranial Nerve Injuries","1","Coronavirus disease - COVID-19",3011
"166","Gigantism","1","Coronavirus disease - COVID-19",3011
"167","Glioblastoma","1","Coronavirus disease - COVID-19",3011
"168","Rosacea","1","Coronavirus disease - COVID-19",3011
"169","Arteriosclerosis Obliterans","0","",3011
"170","Respiratory Tract Infections","1","Coronavirus disease - COVID-19",3011
"171","Wounds, Nonpenetrating","1","Coronavirus disease - COVID-19",3011
"172","Leg Ulcer","1","Coronavirus disease - COVID-19",3011
"173","Atypical Hemolytic Uremic Syndrome","1","Coronavirus disease - COVID-19",3011
"174","Endocarditis","1","Coronavirus disease - COVID-19",3011
"175","Anterior Spinal Artery Syndrome","0","",3011
"176","Pancreatic Neoplasms","1","Coronavirus disease - COVID-19",3011
"177","Opiate Overdose","NA","",3011
"178","Paracoccidioidomycosis","1","Coronavirus disease - COVID-19",3011
"179","Antithrombin III Deficiency","0","",3011
"180","Porokeratosis","0","",3011
"181","Dysuria","1","Coronavirus disease - COVID-19",3011
"182","Myoma","1","Coronavirus disease - COVID-19",3011
"183","Solitary Kidney","0","",3011
"184","Small Fiber Neuropathy","0","",3011
"185","Cystadenofibroma","0","",3011
"186","Myasthenia Gravis, Autoimmune, Experimental","0","",3011
"187","Hemothorax","0","",3011
"188","Hypertensive Encephalopathy","0","",3011
"189","Haemophilus Infections","1","Coronavirus disease - COVID-19",3011
"190","Immunoproliferative Disorders","1","Coronavirus disease - COVID-19",3011
"191","Hyperlysinemias","0","",3011
"192","Noncommunicable Diseases","0","",3011
"193","Hypobetalipoproteinemia, Familial, Apolipoprotein B","NA","",3011
"194","Rheumatic Heart Disease","1","Coronavirus disease - COVID-19",3011
"195","Lead Poisoning, Nervous System, Childhood","0","",3011
"196","Intra-Abdominal Hypertension","1","Coronavirus disease - COVID-19",3011
"197","Prader-Willi Syndrome","0","",3011
"198","Candidiasis, Cutaneous","NA","",3011
"199","Empyema, Pleural","0","",3011
"200","Stomach Ulcer","1","Coronavirus disease - COVID-19",3011
"201","Anemia, Refractory, with Excess of Blasts","NA","",3011
"202","Lipoblastoma","0","",3011
"203","Idiopathic Hypersomnia","0","",3011
"204","Dermatitis, Photoallergic","0","",3011
"205","Hypothermia","1","Coronavirus disease - COVID-19",3011
"206","Babesiosis","1","Coronavirus disease - COVID-19",3011
"207","Neoplasms, Complex and Mixed","1","Coronavirus disease - COVID-19",3011
"208","Adenolymphoma","0","",3011
"209","Hyaline Membrane Disease","0","",3011
"210","Accessory Nerve Injuries","0","",3011
"211","Blast Injuries","1","Coronavirus disease - COVID-19",3011
"212","Breakthrough Infections","NA","",3011
"213","Myelinolysis, Central Pontine","0","",3011
"214","Laryngismus","0","",3011
"215","Diabetes Insipidus, Nephrogenic","0","",3011
"216","Erythromelalgia","0","",3011
"217","Rhinitis, Allergic, Perennial","0","",3011
"218","Penile Induration","0","",3011
"219","Semicircular Canal Dehiscence","NA","",3011
"220","Stuttering","0","",3011
"221","Median Neuropathy","0","",3011
"222","Beriberi","0","",3011
"223","Fetofetal Transfusion","1","Coronavirus disease - COVID-19",3011
"224","Myoclonus","0","",3011
"225","Vector Borne Diseases","1","Coronavirus disease - COVID-19",3011
"226","Purpura, Thrombocytopenic, Idiopathic","1","Coronavirus disease - COVID-19",3011
"227","Toxoplasmosis","1","Coronavirus disease - COVID-19",3011
"228","Cerebral Phaeohyphomycosis","NA","",3011
"229","Esophageal Diseases","1","Coronavirus disease - COVID-19",3011
"230","Kidney Calculi","1","Coronavirus disease - COVID-19",3011
"231","Polymyositis","1","Coronavirus disease - COVID-19",3011
"232","Syndrome","1","Coronavirus disease - COVID-19",3011
"233","Sexual Dysfunction, Physiological","1","Coronavirus disease - COVID-19",3011
"234","Hematoma, Epidural, Cranial","0","",3011
"235","Vitamin B 12 Deficiency","0","",3011
"236","Mydriasis","0","",3011
"237","Leishmaniasis, Cutaneous","1","Coronavirus disease - COVID-19",3011
"238","Hyperkalemia","1","Coronavirus disease - COVID-19",3011
"239","Porphyrias, Hepatic","0","",3011
"240","Deaf-Blind Disorders","0","",3011
"241","Synucleinopathies","1","Coronavirus disease - COVID-19",3011
"242","Mixed Tumor, Mesodermal","NA","",3011
"243","Urethral Stricture","0","",3011
"244","Hematoma, Subdural, Acute","0","",3011
"245","Mitochondrial Diseases","1","Coronavirus disease - COVID-19",3011
"246","Surgical Wound Infection","1","Coronavirus disease - COVID-19",3011
"247","Retroperitoneal Fibrosis","0","",3011
"248","Hydatidiform Mole","0","",3011
"249","Isosporiasis","0","",3011
"250","Vascular Remodeling","1","Coronavirus disease - COVID-19",3011
"251","Chorioamnionitis","1","Coronavirus disease - COVID-19",3011
"252","Coronary Vessel Anomalies","0","",3011
"253","Atherosclerosis","1","Coronavirus disease - COVID-19",3011
"254","Pulmonary Embolism","1","Coronavirus disease - COVID-19",3011
"255","Respiratory System Abnormalities","1","Coronavirus disease - COVID-19",3011
"256","Pyoderma","1","Coronavirus disease - COVID-19",3011
"257","Hyper-IgM Immunodeficiency Syndrome, Type 1","1","Coronavirus disease - COVID-19",3011
"258","Crigler-Najjar Syndrome","0","",3011
"259","Genu Valgum","0","",3011
"260","Enteritis, Transmissible, of Turkeys","NA","",3011
"261","Uterine Hemorrhage","1","Coronavirus disease - COVID-19",3011
"262","Carcinoma, Bronchogenic","1","Coronavirus disease - COVID-19",3011
"263","Fibromyalgia","1","Coronavirus disease - COVID-19",3011
"264","Distal Myopathies","0","",3011
"265","Achondroplasia","0","",3011
"266","Polypoidal Choroidal Vasculopathy","NA","",3011
"267","Fasciitis, Plantar","0","",3011
"268","Earache","0","",3011
"269","Meningitis, Escherichia coli","0","",3011
"270","Hemobilia","0","",3011
"271","Nausea","1","Coronavirus disease - COVID-19",3011
"272","Retinal Hemorrhage","0","",3011
"273","Central Nervous System Venous Angioma","0","",3011
"274","Retinal Telangiectasis","0","",3011
"275","Encephalitis, Herpes Simplex","1","Coronavirus disease - COVID-19",3011
"276","Eczema","1","Coronavirus disease - COVID-19",3011
"277","Romano-Ward Syndrome","0","",3011
"278","Asthma, Aspirin-Induced","1","Coronavirus disease - COVID-19",3011
"279","Sezary Syndrome","1","Coronavirus disease - COVID-19",3011
"280","Photophobia","0","",3011
"281","Shock","1","Coronavirus disease - COVID-19",3011
"282","Heart Defects, Congenital","1","Coronavirus disease - COVID-19",3011
"283","Jaundice","1","Coronavirus disease - COVID-19",3011
"284","Squamous Intraepithelial Lesions","1","Coronavirus disease - COVID-19",3011
"285","Anemia, Neonatal","0","",3011
"286","Sarcoma, Small Cell","0","",3011
"287","Glycogen Storage Disease Type V","0","",3011
"288","Adenocarcinoma, Scirrhous","1","Coronavirus disease - COVID-19",3011
"289","Exostoses, Multiple Hereditary","0","",3011
"290","Hypertension, Pulmonary","1","Coronavirus disease - COVID-19",3011
"291","Chikungunya Fever","1","Coronavirus disease - COVID-19",3011
"292","Bell Palsy","0","",3011
"293","Strongylida Infections","0","",3011
"294","Klippel-Trenaunay-Weber Syndrome","0","",3011
"295","Hernia, Inguinal","0","",3011
"296","Hyperandrogenism","0","",3011
"297","Sinusitis","1","Coronavirus disease - COVID-19",3011
"298","Swine Diseases","1","Coronavirus disease - COVID-19",3011
"299","Gastric Outlet Obstruction","0","",3011
"300","Tachycardia","0","",3011
"301","Leukemia","1","Coronavirus disease - COVID-19",3011
"302","Melena","0","",3011
"303","Keratitis","1","Coronavirus disease - COVID-19",3011
"304","Nephrosclerosis","0","",3011
"305","TDP-43 Proteinopathies","1","Coronavirus disease - COVID-19",3011
"306","Abruptio Placentae","0","",3011
"307","Tongue Neoplasms","1","Coronavirus disease - COVID-19",3011
"308","Parkinsonian Disorders","1","Coronavirus disease - COVID-19",3011
"309","Hydrarthrosis","NA","",3011
"310","Sialorrhea","0","",3011
"311","Ventricular Septal Rupture","0","",3011
"312","Encephalomyelitis, Venezuelan Equine","1","Coronavirus disease - COVID-19",3011
"313","Immunoglobulin Light-chain Amyloidosis","0","",3011
"314","Adrenal Rest Tumor","0","",3011
"315","Ebstein Anomaly","0","",3011
"316","Colonic Pseudo-Obstruction","0","",3011
"317","Yellow Nail Syndrome","1","Coronavirus disease - COVID-19",3011
"318","Scleroderma, Localized","1","Coronavirus disease - COVID-19",3011
"319","Neglected Diseases","0","",3011
"320","Adrenal Gland Neoplasms","0","",3011
"321","Anophthalmos","0","",3011
"322","Tachycardia, Ectopic Atrial","0","",3011
"323","Atypical Squamous Cells of the Cervix","0","",3011
"324","Erysipeloid","NA","",3011
"325","Birnaviridae Infections","1","Coronavirus disease - COVID-19",3011
"326","Vocal Cord Paralysis","0","",3011
"327","Vein of Galen Malformations","0","",3011
"328","Asthma, Exercise-Induced","0","",3011
"329","Gallbladder Diseases","1","Coronavirus disease - COVID-19",3011
"330","Nephrosis","1","Coronavirus disease - COVID-19",3011
"331","Carcinoma, Pancreatic Ductal","1","Coronavirus disease - COVID-19",3011
"332","Failed Back Surgery Syndrome","0","",3011
"333","Trypanosomiasis","1","Coronavirus disease - COVID-19",3011
"334","Cerebellar Neoplasms","1","Coronavirus disease - COVID-19",3011
"335","Sinoatrial Block","NA","",3011
"336","Sex Chromosome Aberrations","0","",3011
"337","Dementia, Multi-Infarct","NA","",3011
"338","Tracheitis","0","",3011
"339","Ascaridida Infections","1","Coronavirus disease - COVID-19",3011
"340","Diarrhea, Infantile","0","",3011
"341","Communicable Diseases","1","Coronavirus disease - COVID-19",3011
"342","beta-Mannosidosis","0","",3011
"343","Spider Bites","0","",3011
"344","Hernia, Diaphragmatic, Traumatic","NA","",3011
"345","Paraneoplastic Endocrine Syndromes","0","",3011
"346","Intertrigo","0","",3011
"347","Brain Stem Neoplasms","1","Coronavirus disease - COVID-19",3011
"348","Fabry Disease","1","Coronavirus disease - COVID-19",3011
"349","Food Intolerance","0","",3011
"350","Morphological and Microscopic Findings","1","Coronavirus disease - COVID-19",3011
"351","Hypothyroidism","1","Coronavirus disease - COVID-19",3011
"352","Ocular Hypertension","1","Coronavirus disease - COVID-19",3011
"353","Hemianopsia","0","",3011
"354","Mycetoma","0","",3011
"355","Carcinoma, Basal Cell","1","Coronavirus disease - COVID-19",3011
"356","Nelson Syndrome","1","Coronavirus disease - COVID-19",3011
"357","Egg Hypersensitivity","1","Coronavirus disease - COVID-19",3011
"358","Burns, Inhalation","0","",3011
"359","Mansonelliasis","0","",3011
"360","Alcohol-Induced Disorders, Nervous System","0","",3011
"361","Cerebrovascular Trauma","1","Coronavirus disease - COVID-19",3011
"362","Tricuspid Valve Stenosis","0","",3011
"363","Epilepsy","1","Coronavirus disease - COVID-19",3011
"364","Venom Hypersensitivity","NA","",3011
"365","Sexually Transmitted Diseases, Viral","1","Coronavirus disease - COVID-19",3011
"366","Catalepsy","0","",3011
"367","Joint Loose Bodies","0","",3011
"368","Syringoma","NA","",3011
"369","Breech Presentation","0","",3011
"370","Postgastrectomy Syndromes","0","",3011
"371","Bone Anteversion","0","",3011
"372","Sarcoma, Ewing","1","Coronavirus disease - COVID-19",3011
"373","Hyperlipoproteinemias","0","",3011
"374","Leprosy, Multibacillary","1","Coronavirus disease - COVID-19",3011
"375","Alcohol Withdrawal Delirium","0","",3011
"376","Brain Diseases, Metabolic","1","Coronavirus disease - COVID-19",3011
"377","Abdominal Injuries","0","",3011
"378","Mink Viral Enteritis","NA","",3011
"379","Body Remains","0","",3011
"380","Chondrocalcinosis","0","",3011
"381","Cystadenocarcinoma","1","Coronavirus disease - COVID-19",3011
"382","Diabetic Coma","0","",3011
"383","Neoplasms, Experimental","1","Coronavirus disease - COVID-19",3011
"384","Carcinoma in Situ","1","Coronavirus disease - COVID-19",3011
"385","Pregnancy Complications","1","Coronavirus disease - COVID-19",3011
"386","Fungemia","1","Coronavirus disease - COVID-19",3011
"387","Chronic Kidney Diseases of Uncertain Etiology","NA","",3011
"388","Jaw Abnormalities","1","Coronavirus disease - COVID-19",3011
"389","Sciatica","0","",3011
"390","Giant Cell Tumors","1","Coronavirus disease - COVID-19",3011
"391","Paraneoplastic Syndromes","1","Coronavirus disease - COVID-19",3011
"392","Substance-Related Disorders","1","Coronavirus disease - COVID-19",3011
"393","Vascular Malformations","1","Coronavirus disease - COVID-19",3011
"394","Primary Dysautonomias","1","Coronavirus disease - COVID-19",3011
"395","Tongue Diseases","1","Coronavirus disease - COVID-19",3011
"396","Parasitemia","1","Coronavirus disease - COVID-19",3011
"397","Intracranial Hemorrhages","1","Coronavirus disease - COVID-19",3011
"398","Varicose Ulcer","1","Coronavirus disease - COVID-19",3011
"399","Fibromatosis, Aggressive","0","",3011
"400","Neoplasms, Squamous Cell","1","Coronavirus disease - COVID-19",3011
"401","Erythrasma","NA","",3011
"402","Addison Disease","0","",3011
"403","Cytokine Release Syndrome","0","",3011
"404","Leukemia, Large Granular Lymphocytic","1","Coronavirus disease - COVID-19",3011
"405","Rubinstein-Taybi Syndrome","0","",3011
"406","Germinoma","1","Coronavirus disease - COVID-19",3011
"407","Encephalitis, Varicella Zoster","1","Coronavirus disease - COVID-19",3011
"408","Papilloma","0","",3011
"409","Prolactinoma","0","",3011
"410","Giant Cell Tumor of Bone","1","Coronavirus disease - COVID-19",3011
"411","Angioedema","1","Coronavirus disease - COVID-19",3011
"412","Histiocytic Necrotizing Lymphadenitis","0","",3011
"413","Hajdu-Cheney Syndrome","0","",3011
"414","Immune System Diseases","1","Coronavirus disease - COVID-19",3011
"415","Respiratory Syncytial Virus Infections","1","Coronavirus disease - COVID-19",3011
"416","Tonsillitis","1","Coronavirus disease - COVID-19",3011
"417","Tooth Abrasion","0","",3011
"418","Squamous Intraepithelial Lesions of the Cervix","1","Coronavirus disease - COVID-19",3011
"419","Afferent Loop Syndrome","NA","",3011
"420","Mitral Valve Prolapse","0","",3011
"421","Dendritic Cell Sarcoma, Follicular","0","",3011
"422","Urinoma","0","",3011
"423","Zenker Diverticulum","0","",3011
"424","Osteopetrosis","0","",3011
"425","Blindness, Cortical","0","",3011
"426","Influenza in Birds","1","Coronavirus disease - COVID-19",3011
"427","Low Back Pain","1","Coronavirus disease - COVID-19",3011
"428","Optic Atrophy","0","",3011
"429","Migraine Disorders","0","",3011
"430","Camurati-Engelmann Syndrome","0","",3011
"431","Balanitis Xerotica Obliterans","1","Coronavirus disease - COVID-19",3011
"432","Granuloma","1","Coronavirus disease - COVID-19",3011
"433","Diverticular Diseases","1","Coronavirus disease - COVID-19",3011
"434","Illusions","0","",3011
"435","Embolic Stroke","0","",3011
"436","Kimura Disease","NA","",3011
"437","Mastitis, Bovine","1","Coronavirus disease - COVID-19",3011
"438","Chromosome Breakage","0","",3011
"439","Hematoma, Subdural, Intracranial","0","",3011
"440","Spinal Cord Vascular Diseases","1","Coronavirus disease - COVID-19",3011
"441","Lung, Hyperlucent","0","",3011
"442","Chronic Kidney Disease-Mineral and Bone Disorder","1","Coronavirus disease - COVID-19",3011
"443","Distemper","0","",3011
"444","Shellfish Poisoning","0","",3011
"445","Nail Diseases","1","Coronavirus disease - COVID-19",3011
"446","Bunion","0","",3011
"447","Pneumonia of Swine, Mycoplasmal","0","",3011
"448","Angiolipoma","1","Coronavirus disease - COVID-19",3011
"449","Splenic Infarction","0","",3011
"450","Dandruff","1","Coronavirus disease - COVID-19",3011
"451","Tongue, Hairy","NA","",3011
"452","Postoperative Complications","1","Coronavirus disease - COVID-19",3011
"453","Korsakoff Syndrome","0","",3011
"454","Piriformis Muscle Syndrome","0","",3011
"455","Intestinal Diseases","1","Coronavirus disease - COVID-19",3011
"456","Intermittent Claudication","0","",3011
"457","Mitral Valve Insufficiency","1","Coronavirus disease - COVID-19",3011
"458","Allergic Fungal Sinusitis","NA","",3011
"459","Hernia, Abdominal","0","",3011
"460","Caplan Syndrome","NA","",3011
"461","Rubella","1","Coronavirus disease - COVID-19",3011
"462","Signs and Symptoms, Digestive","1","Coronavirus disease - COVID-19",3011
"463","Neuroleptic Malignant Syndrome","0","",3011
"464","Protoporphyria, Erythropoietic","0","",3011
"465","Empyema","0","",3011
"466","Acanthoma","0","",3011
"467","Tuberculosis, Male Genital","0","",3011
"468","Chagas Cardiomyopathy","1","Coronavirus disease - COVID-19",3011
"469","Echinococcosis, Pulmonary","0","",3011
"470","Tinea Versicolor","0","",3011
"471","Neoplasm Micrometastasis","0","",3011
"472","Trichostrongyloidiasis","0","",3011
"473","Pregnancy Complications, Neoplastic","1","Coronavirus disease - COVID-19",3011
"474","Premature Birth","1","Coronavirus disease - COVID-19",3011
"475","Skin Diseases, Vesiculobullous","1","Coronavirus disease - COVID-19",3011
"476","Elbow Tendinopathy","0","",3011
"477","Helminthiasis","1","Coronavirus disease - COVID-19",3011
"478","Duodenal Ulcer","0","",3011
"479","Thyroid Diseases","1","Coronavirus disease - COVID-19",3011
"480","Osteogenesis Imperfecta","0","",3011
"481","Microphthalmos","0","",3011
"482","Fetal Membranes, Premature Rupture","1","Coronavirus disease - COVID-19",3011
"483","Gait Disorders, Neurologic","0","",3011
"484","COVID-19","NA","",3011
"485","Acne Conglobata","NA","",3011
"486","Lymphoma, B-Cell, Marginal Zone","1","Coronavirus disease - COVID-19",3011
"487","Arachnoid Cysts","0","",3011
"488","Dental Enamel Hypomineralization","0","",3011
"489","Microsporidiosis","0","",3011
"490","Mucopolysaccharidosis VII","0","",3011
"491","Meningitis, Aseptic","1","Coronavirus disease - COVID-19",3011
"492","Cephalopelvic Disproportion","0","",3011
"493","Erythema Ab Igne","NA","",3011
"494","Salivary Gland Neoplasms","1","Coronavirus disease - COVID-19",3011
"495","Diverticulitis","0","",3011
"496","Megacolon","1","Coronavirus disease - COVID-19",3011
"497","Scimitar Syndrome","0","",3011
"498","Boutonneuse Fever","0","",3011
"499","Nose Neoplasms","0","",3011
"500","Cardiotoxicity","1","Coronavirus disease - COVID-19",3011
"501","Snoring","0","",3011
"502","Fractures, Malunited","0","",3011
"503","Hot Flashes","0","",3011
"504","Birdshot Chorioretinopathy","1","Coronavirus disease - COVID-19",3011
"505","Spinal Stenosis","1","Coronavirus disease - COVID-19",3011
"506","Parkinson Disease, Postencephalitic","NA","",3011
"507","Crush Injuries","0","",3011
"508","Pregnancy Complications, Parasitic","1","Coronavirus disease - COVID-19",3011
"509","Abnormalities, Drug-Induced","1","Coronavirus disease - COVID-19",3011
"510","Kyphosis","1","Coronavirus disease - COVID-19",3011
"511","Severe Fever with Thrombocytopenia Syndrome","NA","",3011
"512","Coronary-Subclavian Steal Syndrome","NA","",3011
"513","Ventricular Premature Complexes","0","",3011
"514","Neonatal Brachial Plexus Palsy","0","",3011
"515","Neointima","1","Coronavirus disease - COVID-19",3011
"516","Chronic Limb-Threatening Ischemia","NA","",3011
"517","Mammary Neoplasms, Animal","1","Coronavirus disease - COVID-19",3011
"518","Bone Demineralization, Pathologic","0","",3011
"519","Acrodynia","NA","",3011
"520","Osteopoikilosis","NA","",3011
"521","Erectile Dysfunction","1","Coronavirus disease - COVID-19",3011
"522","Tetany","0","",3011
